Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,HealthBefore,HealthAfter,InBand,Actions
0.000000000,1.000000000,1.200000000,615.384615385,512.820512821,1123.076923077,1123.076923077,1.460000000,1.460000000,Yes,"Sold 102.564102564 YIELD for 123.076923077 MOET, bought 123.076923077 FLOW"
1.000000000,1.100000000,1.200000000,760.236686391,633.530571993,1123.076923077,1235.384615385,1.606000000,1.300000000,No,Borrow 144.852071006
2.000000000,1.200000000,1.200000000,760.236686391,633.530571993,1123.076923077,1347.692307692,1.418181818,1.418181818,Yes,none
3.000000000,1.300000000,1.200000000,898.461538462,748.717948719,1123.076923077,1460.000000000,1.536363636,1.300000000,No,Borrow 138.224852071
4.000000000,1.400000000,1.200000000,898.461538462,748.717948719,1123.076923077,1572.307692308,1.400000000,1.400000000,Yes,none
5.000000000,1.500000000,1.200000000,898.461538462,748.717948719,1123.076923077,1684.615384616,1.500000000,1.500000000,Yes,none
6.000000000,1.600000000,1.200000000,1105.798816568,921.499013807,1123.076923077,1796.923076923,1.600000000,1.300000000,No,Borrow 207.337278106
7.000000000,1.700000000,1.200000000,1105.798816568,921.499013807,1123.076923077,1909.230769231,1.381250000,1.381250000,Yes,none
8.000000000,1.800000000,1.200000000,1105.798816568,921.499013807,1123.076923077,2021.538461539,1.462500000,1.462500000,Yes,none
9.000000000,1.900000000,1.200000000,1313.136094675,1094.280078896,1123.076923077,2133.846153846,1.543750000,1.300000000,No,Borrow 207.337278107
10.000000000,2.000000000,1.200000000,1313.136094675,1094.280078896,1123.076923077,2246.153846154,1.368421053,1.368421053,Yes,none
