Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
1.000000000,1.800000000,1.200000000,1183.431952663,986.193293886,1068.376068376,1923.076923077,1.300000000,"Sold 102.564102564 YIELD for 123.076923077 MOET, bought 68.376068376 FLOW | Borrow 568.047337278"
2.000000000,0.600000000,1.500000000,576.543771810,384.362514540,1561.472715319,936.883629192,1.300000000,"Sold 197.238658777 YIELD for 295.857988166 MOET, bought 493.096646943 FLOW | Repay 606.888180853"
3.000000000,2.200000000,1.500000000,2113.993829971,1409.329219981,1561.472715319,3435.239973703,1.300000000,Borrow 1537.450058161
4.000000000,0.400000000,2.500000000,1251.642034529,500.656813811,5084.795765274,2033.918306110,1.300000000,"Sold 563.731687993 YIELD for 1409.329219982 MOET, bought 3523.323049955 FLOW | Repay 862.351795442"
5.000000000,3.000000000,2.500000000,9387.315258968,3754.926103587,5084.795765274,15254.387295823,1.300000000,Borrow 8135.673224439
6.000000000,1.000000000,3.500000000,5439.828842376,1554.236812108,8839.721868860,8839.721868860,1.300000000,"Sold 1072.836029596 YIELD for 3754.926103586 MOET, bought 3754.926103586 FLOW | Repay 3947.486416592"
7.000000000,0.200000000,3.500000000,1087.965768475,310.847362422,8839.721868860,1767.944373772,1.300000000,Repay 4351.863073901
8.000000000,4.000000000,4.000000000,21854.960711788,5463.740177947,8878.577789164,35514.311156655,1.300000000,"Sold 38.855920303 YIELD for 155.423681213 MOET, bought 38.855920303 FLOW | Borrow 20766.994943313"
9.000000000,1.500000000,4.000000000,8195.610266920,2048.902566730,8878.577789164,13317.866683746,1.300000000,Repay 13659.350444868
