Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
1.000000000,1.154508497,1.020000000,710.466767385,708.602411463,1000.000000000,1154.508497000,1.300000000,Borrow 95.082152000
2.000000000,1.293892626,1.040000000,796.241616000,791.078227439,1000.000000000,1293.892626000,1.300000000,Borrow 85.774848615
3.000000000,1.404508497,1.060000000,890.344493591,839.947635463,1030.118226536,1446.809802085,1.300000000,"Sold 39.906891590 YIELD for 42.301305085 MOET, bought 30.118226536 FLOW | Borrow 94.102877591"
4.000000000,1.475528258,1.080000000,935.365262976,881.633533042,1030.118226536,1519.968552335,1.300000000,Borrow 45.020769385
5.000000000,1.500000000,1.100000000,950.878362957,895.736351207,1030.118226536,1545.177339805,1.300000000,Borrow 15.513099981
6.000000000,1.475528258,1.120000000,967.578401680,863.909287214,1065.594572117,1572.314902730,1.300000000,"Sold 46.737812853 YIELD for 52.346350395 MOET, bought 35.476345581 FLOW | Borrow 16.700038723"
7.000000000,1.404508497,1.140000000,921.007157474,823.057318612,1065.594572117,1496.636630896,1.300000000,Repay 46.571244206
8.000000000,1.293892626,1.160000000,848.470744103,760.525927775,1065.594572117,1378.764959168,1.300000000,Repay 72.536413371
9.000000000,1.154508497,1.180000000,787.192516024,667.112301715,1107.993437781,1279.187838538,1.300000000,"Sold 41.482924298 YIELD for 48.949850672 MOET, bought 42.398865664 FLOW | Repay 61.278228079"
10.000000000,1.000000000,1.200000000,681.842115558,579.320301327,1107.993437781,1107.993437781,1.300000000,Repay 105.350400466
11.000000000,0.845491503,1.220000000,576.491715091,492.967514059,1107.993437781,936.799037024,1.300000000,Repay 105.350400467
12.000000000,0.706107374,1.240000000,502.861747140,405.533667048,1157.260735678,817.150339103,1.300000000,"Sold 28.054840599 YIELD for 34.788002342 MOET, bought 49.267297897 FLOW | Repay 73.629967951"
13.000000000,0.595491503,1.260000000,424.085498370,343.012834691,1157.260735678,689.138934852,1.300000000,Repay 78.776248770
14.000000000,0.524471742,1.280000000,373.508033224,303.499190046,1157.260735678,606.950553989,1.300000000,Repay 50.577465146
15.000000000,0.500000000,1.300000000,369.028481031,283.868062332,1199.342563350,599.671281675,1.300000000,"Sold 16.185318335 YIELD for 21.040913836 MOET, bought 42.081827672 FLOW | Repay 4.479552193"
16.000000000,0.524471742,1.320000000,387.090020588,297.551046845,1199.342563350,629.021283455,1.300000000,Borrow 18.061539557
17.000000000,0.595491503,1.340000000,439.506649638,336.667934196,1199.342563350,714.198305661,1.300000000,Borrow 52.416629050
18.000000000,0.706107374,1.360000000,521.147463344,396.697944274,1199.342563350,846.864627933,1.300000000,Borrow 81.640813706
19.000000000,0.845491503,1.380000000,640.202859232,463.915115386,1230.443644390,1040.329646253,1.300000000,"Sold 19.054854894 YIELD for 26.295699754 MOET, bought 31.101081041 FLOW | Borrow 119.055395888"
