PathName,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
BearMarket,0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
BearMarket,1.000000000,0.900000000,1.100000000,591.715976331,537.923614846,1068.376068376,961.538461538,1.300000000,"Sold 55.944055944 YIELD for 61.538461538 MOET, bought 68.376068376 FLOW | Repay 23.668639054"
BearMarket,2.000000000,0.800000000,1.200000000,559.072748421,465.893957017,1135.616520231,908.493216184,1.300000000,"Sold 44.826967904 YIELD for 53.792361484 MOET, bought 67.240451855 FLOW | Repay 32.643227910"
BearMarket,3.000000000,0.700000000,1.300000000,517.859052223,398.353117095,1202.172799803,841.520959862,1.300000000,"Sold 35.837996693 YIELD for 46.589395701 MOET, bought 66.556279573 FLOW | Repay 41.213696198"
BearMarket,4.000000000,0.600000000,1.400000000,468.393225595,334.566589710,1268.564985987,761.138991592,1.300000000,"Sold 28.453794079 YIELD for 39.835311710 MOET, bought 66.392186183 FLOW | Repay 49.465826628"
BearMarket,5.000000000,0.500000000,1.500000000,410.916401208,273.944267472,1335.478303927,667.739151963,1.300000000,"Sold 22.304439313 YIELD for 33.456658970 MOET, bought 66.913317940 FLOW | Repay 57.476824387"
BearMarket,6.000000000,0.400000000,1.600000000,345.591229734,215.994518584,1403.964370794,561.585748318,1.300000000,"Sold 17.121516717 YIELD for 27.394426747 MOET, bought 68.486066868 FLOW | Repay 65.325171474"
BearMarket,7.000000000,0.300000000,1.700000000,272.485392675,160.285525103,1475.962543658,442.788763097,1.300000000,"Sold 12.705559917 YIELD for 21.599451859 MOET, bought 71.998172863 FLOW | Repay 73.105837059"
BullMarket,0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
BullMarket,1.000000000,1.200000000,1.000000000,738.461538462,738.461538462,1000.000000000,1200.000000000,1.300000000,Borrow 123.076923077
BullMarket,2.000000000,1.500000000,1.050000000,923.076923077,914.285714286,1000.000000000,1500.000000000,1.300000000,Borrow 184.615384615
BullMarket,3.000000000,2.000000000,1.050000000,1230.769230769,1207.326007326,1000.000000000,2000.000000000,1.300000000,Borrow 307.692307692
BullMarket,4.000000000,2.500000000,1.100000000,1598.331924486,1453.029022260,1038.915750916,2597.289377290,1.300000000,"Sold 88.444888445 YIELD for 97.289377290 MOET, bought 38.915750916 FLOW | Borrow 367.562693717"
BullMarket,5.000000000,3.000000000,1.100000000,1917.998309383,1743.634826712,1038.915750916,3116.747252748,1.300000000,Borrow 319.666384897
BullMarket,6.000000000,3.500000000,1.150000000,2237.664694281,2021.605596189,1038.915750916,3636.205128206,1.300000000,Borrow 319.666384898
BullMarket,7.000000000,4.000000000,1.200000000,2673.184630652,2227.653858876,1085.981256203,4343.925024810,1.300000000,"Sold 156.885017622 YIELD for 188.262021146 MOET, bought 47.065505287 FLOW | Borrow 435.519936371"
Sideways,0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
Sideways,1.000000000,1.100000000,1.050000000,676.923076923,673.992673993,1000.000000000,1100.000000000,1.300000000,Borrow 61.538461538
Sideways,2.000000000,0.900000000,1.050000000,553.846153846,556.776556777,1000.000000000,900.000000000,1.300000000,Repay 123.076923077
Sideways,3.000000000,1.050000000,1.100000000,682.220343759,620.200312508,1055.817198675,1108.608058609,1.300000000,"Sold 53.280053281 YIELD for 58.608058609 MOET, bought 55.817198675 FLOW | Borrow 128.374189913"
Sideways,4.000000000,0.950000000,1.100000000,617.246977687,561.133616079,1055.817198675,1003.026338741,1.300000000,Repay 64.973366072
Sideways,5.000000000,1.020000000,1.150000000,662.728333938,600.682621515,1055.817198675,1076.933542649,1.300000000,Borrow 45.481356251
Sideways,6.000000000,0.980000000,1.150000000,636.738987509,578.083189838,1055.817198675,1034.700854702,1.300000000,Repay 25.989346429
Sideways,7.000000000,1.000000000,1.200000000,684.786485521,570.655404601,1112.778038972,1112.778038972,1.300000000,"Sold 47.467366914 YIELD for 56.960840297 MOET, bought 56.960840297 FLOW | Borrow 48.047498012"
Crisis,0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
Crisis,1.000000000,0.500000000,2.000000000,686.390532545,343.195266273,2230.769230770,1115.384615385,1.300000000,"Sold 307.692307692 YIELD for 615.384615385 MOET, bought 1230.769230770 FLOW | Borrow 71.005917160"
Crisis,2.000000000,0.200000000,5.000000000,908.147473830,181.629494766,7378.698224870,1475.739644974,1.300000000,"Sold 205.917159764 YIELD for 1029.585798820 MOET, bought 5147.928994100 FLOW | Borrow 221.756941285"
Crisis,3.000000000,0.100000000,10.000000000,1012.933720810,101.293372081,16460.172963170,1646.017296317,1.300000000,"Sold 90.814747383 YIELD for 908.147473830 MOET, bought 9081.474738300 FLOW | Borrow 104.786246980"
Crisis,4.000000000,0.150000000,10.000000000,1519.400581216,151.940058122,16460.172963170,2469.025944476,1.300000000,Borrow 506.466860406
Crisis,5.000000000,0.300000000,10.000000000,3038.801162431,303.880116244,16460.172963170,4938.051888951,1.300000000,Borrow 1519.400581215
Crisis,6.000000000,0.700000000,10.000000000,7090.536045673,709.053604568,16460.172963170,11522.121074219,1.300000000,Borrow 4051.734883242
Crisis,7.000000000,1.200000000,10.000000000,12155.204649726,1215.520464973,16460.172963170,19752.207555804,1.300000000,Borrow 5064.668604053
