Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
0.000000000,1.000000000,1.000000000,615.384615385,615.384615385,1000.000000000,1000.000000000,1.300000000,none
1.000000000,1.800000000,1.200000000,1183.431952663,986.193293886,1068.376068376,1923.076923077,1.300000000,Bal sell 102.564102564 | Borrow 568.047337278
2.000000000,0.600000000,1.500000000,576.543771810,384.362514540,1561.472715319,936.883629191,1.300000000,Bal sell 197.238658777 | Repay 606.888180853
3.000000000,2.200000000,1.500000000,2113.993829970,1409.329219980,1561.472715319,3435.239973702,1.300000000,Borrow 1537.450058160
4.000000000,0.400000000,2.500000000,1251.642034528,500.656813811,5084.795765269,2033.918306108,1.300000000,Bal sell 563.731687992 | Repay 862.351795442
5.000000000,3.000000000,2.500000000,9387.315258958,3754.926103583,5084.795765269,15254.387295807,1.300000000,Borrow 8135.673224430
6.000000000,1.000000000,3.500000000,5439.828842370,1554.236812106,8839.721868852,8839.721868852,1.300000000,Bal sell 1072.836029595 | Repay 3947.486416588
7.000000000,0.200000000,3.500000000,1087.965768474,310.847362421,8839.721868852,1767.944373770,1.300000000,Repay 4351.863073896
8.000000000,4.000000000,4.000000000,21854.960711766,5463.740177941,8878.577789155,35514.311156620,1.300000000,Bal sell 38.855920303 | Borrow 20766.994943292
9.000000000,1.500000000,4.000000000,8195.610266913,2048.902566728,8878.577789155,13317.866683733,1.300000000,Repay 13659.350444853
