WalkID,Step,FlowPrice,YieldPrice,Debt,YieldUnits,FlowUnits,Collateral,Health,Actions
4.0,0.0,1.024547254,1.039411241,630.490617846,629.917845222,1000.0,1024.547254,1.3,Borrow 15.106002461
4.0,1.0,1.059212192,1.179392321,721.010365335,611.340562845,1106.14459739,1171.64184367,1.3,Bal sell 95.328458281 | Borrow 90.519747489
4.0,2.0,1.016589707,1.218192104,691.997053637,587.523866281,1106.14459739,1124.49521216,1.3,Repay 29.013311698
4.0,3.0,1.218906351,1.31129724,877.974181867,669.546274548,1170.482083684,1426.708045534,1.3,Bal sell 59.804419821 | Borrow 185.977128230
4.0,4.0,1.019449105,1.320564776,734.305792388,560.753133848,1170.482083684,1193.24691263,1.3,Repay 143.668389479
4.0,5.0,0.860271967,1.444852247,666.358496944,461.194906488,1258.709569847,1082.832557534,1.3,Bal sell 52.531068988 | Repay 67.947295444
4.0,6.0,0.960779043,1.536346063,770.177389444,501.304626602,1302.628598079,1251.538257847,1.3,Bal sell 27.465479901 | Borrow 103.818892500
4.0,7.0,0.79303767,1.624290956,662.84352618,408.081768682,1358.221394506,1077.120730043,1.3,Bal sell 27.142416563 | Repay 107.333863264
4.0,8.0,0.950414847,1.753206303,826.758019486,471.569157646,1413.574068109,1343.481781665,1.3,Bal sell 30.006738353 | Borrow 163.914493306
4.0,9.0,1.129502801,1.979574963,1048.236521639,529.526055457,1508.083332024,1703.384347663,1.3,Bal sell 53.924948693 | Borrow 221.478502153
